configuration_id,fast_window,slow_window,signal_window,neutral_band,neighbor_count,neighbor_configuration_ids,net_sharpe_ratio,total_turnover,median_neighbor_net_sharpe,minimum_neighbor_net_sharpe,standard_deviation_neighbor_net_sharpe,proportion_neighbors_positive_net_return,proportion_neighbors_positive_break_even,median_neighbor_turnover,mean_absolute_one_step_net_sharpe_difference,mean_absolute_one_step_turnover_difference
f012_s032_m012_b0p00025,12,32,12,0.00025,6,f008_s032_m012_b0p00025|f012_s026_m012_b0p00025|f012_s032_m009_b0p00025|f012_s032_m012_b0p00000|f012_s032_m012_b0p00050|f016_s032_m012_b0p00025,-0.172758736599,4639,-0.184947439164,-0.403130068585,0.178171902041,0.166666666667,0.833333333333,4748,0.152255903923,556.333333333
f012_s032_m012_b0p00050,12,32,12,0.0005,6,f008_s032_m012_b0p00050|f012_s026_m012_b0p00050|f012_s032_m009_b0p00050|f012_s032_m012_b0p00025|f012_s032_m012_b0p00100|f016_s032_m012_b0p00050,0.122078778357,3700,-0.165833277934,-0.4218604008,0.213386229754,0.166666666667,0.833333333333,3591,0.301926731264,795
f012_s032_m012_b0p00100,12,32,12,0.001,5,f008_s032_m012_b0p00100|f012_s026_m012_b0p00100|f012_s032_m009_b0p00100|f012_s032_m012_b0p00050|f016_s032_m012_b0p00100,-0.158907819269,2234,-0.370461664137,-0.54557577829,0.230589662796,0.2,0.2,1954,0.267505389058,834
f016_s020_m006_b0p00000,16,20,6,0,4,f012_s020_m006_b0p00000|f016_s020_m006_b0p00025|f016_s020_m009_b0p00000|f016_s026_m006_b0p00000,-0.844120212711,6747,-0.730728875526,-1.02438859065,0.265353861742,0,0,6015,0.264891645729,1835.25
f016_s020_m006_b0p00025,16,20,6,0.00025,5,f012_s020_m006_b0p00025|f016_s020_m006_b0p00000|f016_s020_m006_b0p00050|f016_s020_m009_b0p00025|f016_s026_m006_b0p00025,-0.981888556625,1366,-0.635287707225,-0.844120212711,0.161977898208,0,0,3100,0.369420917055,2277.8
f016_s020_m006_b0p00050,16,20,6,0.0005,5,f012_s020_m006_b0p00050|f016_s020_m006_b0p00025|f016_s020_m006_b0p00100|f016_s020_m009_b0p00050|f016_s026_m006_b0p00050,-0.70057261164,276,-0.825026262673,-0.98782201984,0.143629206373,0,0,1342,0.182688698039,860
f016_s020_m006_b0p00100,16,20,6,0.001,4,f012_s020_m006_b0p00100|f016_s020_m006_b0p00050|f016_s020_m009_b0p00100|f016_s026_m006_b0p00100,-0.594420577244,40,-0.7176191894,-0.848571371317,0.129681188447,0,0,288,0.151281967886,246.5
f016_s020_m009_b0p00000,16,20,9,0,5,f012_s020_m009_b0p00000|f016_s020_m006_b0p00000|f016_s020_m009_b0p00025|f016_s020_m012_b0p00000|f016_s026_m009_b0p00000,-0.467141369925,5749,-0.513836698801,-0.844120212711,0.222542195506,0,0.2,5265,0.202811003041,1298.2
f016_s020_m009_b0p00025,16,20,9,0.00025,6,f012_s020_m009_b0p00025|f016_s020_m006_b0p00025|f016_s020_m009_b0p00000|f016_s020_m009_b0p00050|f016_s020_m012_b0p00025|f016_s026_m009_b0p00025,-0.513836698801,1900,-0.463520981944,-0.98782201984,0.38073770396,0,0.333333333333,2848,0.32604316677,1672.83333333
f016_s020_m009_b0p00050,16,20,9,0.0005,6,f012_s020_m009_b0p00050|f016_s020_m006_b0p00050|f016_s020_m009_b0p00025|f016_s020_m009_b0p00100|f016_s020_m012_b0p00050|f016_s026_m009_b0p00050,-0.98782201984,590,-0.607204655221,-0.848571371317,0.15047677044,0,0,1355,0.375805677386,923.333333333
