configuration_id,short_window,long_window,neutral_band,symbol,calendar_year,observations,position_eligible_observations,gross_return,net_return,net_annualized_volatility,net_sharpe_ratio,net_max_drawdown,turnover,long_exposure_pct,short_exposure_pct,neutral_exposure_pct
s016_l064_d0p0000,16,64,0,SPY,2023,6476,6476,-0.0166824949603,-0.0419208931125,0.128695221665,-0.272324875523,-0.154339017925,260,57.6127239036,42.3872760964,0
s016_l064_d0p0000,16,64,0,SPY,2024,6516,6516,0.00708202808039,-0.0168024463418,0.123710529822,-0.0760304919646,-0.157450086013,240,60.4051565378,39.5948434622,0
s016_l064_d0p0000,16,64,0,SPY,2025,6464,6464,-0.199526314299,-0.218198352556,0.19396344975,-1.18918960188,-0.291576825917,236,59.4987623762,40.5012376238,0
s016_l064_d0p0005,16,64,0.0005,SPY,2020,6554,6490,0.1728769728,0.147234072253,0.323003165221,0.585012051557,-0.255881909049,221,59.4915254237,35.6394453005,4.86902927581
s016_l064_d0p0005,16,64,0.0005,SPY,2021,6540,6540,-0.0741844317153,-0.0970458516018,0.121891070511,-0.778074682261,-0.133008473847,250,58.0428134557,32.5076452599,9.4495412844
s016_l064_d0p0005,16,64,0.0005,SPY,2022,6514,6514,0.0211074225531,-0.00370533482967,0.225089430027,0.096028353229,-0.134984215148,246,45.3177770955,50.7061713233,3.97605158121
s016_l064_d0p0005,16,64,0.0005,SPY,2023,6476,6476,0.0107164096256,-0.0136481728741,0.124196575543,-0.0498515855527,-0.136483917485,244,53.9376158122,38.4187770229,7.64360716492
s016_l064_d0p0005,16,64,0.0005,SPY,2024,6516,6516,-0.0117431698964,-0.0342172459173,0.120327128494,-0.230938979753,-0.15001873479,230,56.875383671,35.6507059546,7.47391037446
s016_l064_d0p0005,16,64,0.0005,SPY,2025,6464,6464,-0.17746569916,-0.195688690939,0.190694482193,-1.06200743725,-0.272133088215,224,56.0024752475,36.9275990099,7.06992574257
s016_l064_d0p0010,16,64,0.001,SPY,2020,6554,6490,0.194746450745,0.168511500558,0.319830529112,0.645077504881,-0.234051451573,222,56.3020030817,33.374422188,10.3235747304
s016_l064_d0p0010,16,64,0.001,SPY,2021,6540,6540,-0.0739475142478,-0.096179649877,0.115706452419,-0.817702089312,-0.127704168017,243,51.8042813456,28.5474006116,19.6483180428
s016_l064_d0p0010,16,64,0.001,SPY,2022,6514,6514,-0.0154100903974,-0.0385683617644,0.22041754341,-0.0691813515938,-0.165215331152,238,43.3681301811,48.6183604544,8.01350936445
s016_l064_d0p0010,16,64,0.001,SPY,2023,6476,6476,0.0288531585232,0.00384988822805,0.118044727455,0.0919603031099,-0.135692047933,246,49.7992588017,34.5583693638,15.6423718345
s016_l064_d0p0010,16,64,0.001,SPY,2024,6516,6516,0.0283820093313,0.00479816671532,0.116337771483,0.0993843947715,-0.115288092846,232,51.2737875998,31.599140577,17.1270718232
s016_l064_d0p0010,16,64,0.001,SPY,2025,6464,6464,-0.13051612546,-0.150285843664,0.185349039455,-0.797792099283,-0.249352753045,230,52.2586633663,33.9727722772,13.7685643564
s016_l064_d0p0020,16,64,0.002,SPY,2020,6554,6490,0.210466960736,0.183178970597,0.312119838097,0.693124071643,-0.207808187325,228,49.0600924499,29.7534668721,21.186440678
s016_l064_d0p0020,16,64,0.002,SPY,2021,6540,6540,-0.0389860761095,-0.0592405035857,0.104660545464,-0.532230219211,-0.115372801211,213,40.0611620795,23.2568807339,36.6819571865
s016_l064_d0p0020,16,64,0.002,SPY,2022,6514,6514,0.0424537795307,0.0187504288383,0.212575977345,0.19428037632,-0.119004150949,230,39.7144611606,44.3506294136,15.9349094259
s016_l064_d0p0020,16,64,0.002,SPY,2023,6476,6476,0.0103517817655,-0.0126222562854,0.109791191642,-0.0621542413153,-0.134712444041,230,40.5651636813,27.6714021001,31.7634342187
s016_l064_d0p0020,16,64,0.002,SPY,2024,6516,6516,-0.05517686272,-0.0759225405789,0.105474531708,-0.700168240634,-0.133360484701,222,40.7151626765,24.1405770411,35.1442602824
s016_l064_d0p0020,16,64,0.002,SPY,2025,6464,6464,-0.123211134622,-0.142978792929,0.174970438396,-0.806201477349,-0.243892159525,228,43.5179455446,27.9238861386,28.5581683168
s016_l096_d0p0000,16,96,0,SPY,2020,6554,6458,0.234189793268,0.212535392689,0.329205237772,0.748110040923,-0.195804202351,177,62.9296995974,37.0703004026,0
s016_l096_d0p0000,16,96,0,SPY,2021,6540,6540,-0.0912274246789,-0.107619450307,0.126867505069,-0.835698251407,-0.17088644783,182,66.0550458716,33.9449541284,0
s016_l096_d0p0000,16,96,0,SPY,2022,6514,6514,-0.0396278800161,-0.0586408042663,0.226920668442,-0.154394132863,-0.181166215832,200,47.3134786613,52.6865213387,0
s016_l096_d0p0000,16,96,0,SPY,2023,6476,6476,0.0793032042455,0.0583490234001,0.128723353394,0.510078065997,-0.110642898011,196,59.5892526251,40.4107473749,0
s016_l096_d0p0000,16,96,0,SPY,2024,6516,6516,0.013169412404,-0.00490628582522,0.123706733514,0.0217474535389,-0.178113776243,180,61.663597299,38.336402701,0
s016_l096_d0p0000,16,96,0,SPY,2025,6464,6464,0.0530287177537,0.0354807592703,0.193993986799,0.279245175297,-0.152356298413,168,60.1794554455,39.8205445545,0
s016_l096_d0p0005,16,96,0.0005,SPY,2020,6554,6458,0.331152251063,0.309233726572,0.326935185296,0.985646031957,-0.153419761255,166,60.9321771446,35.0108392691,4.05698358625
s016_l096_d0p0005,16,96,0.0005,SPY,2021,6540,6540,-0.0762776844112,-0.092846210419,0.122652837123,-0.734577875997,-0.152079647562,181,63.4250764526,31.2232415902,5.35168195719
s016_l096_d0p0005,16,96,0.0005,SPY,2022,6514,6514,-0.0335165750942,-0.0534087014985,0.225618416967,-0.131881600242,-0.183724320866,208,45.4866441511,51.0285538839,3.484801965
s016_l096_d0p0005,16,96,0.0005,SPY,2023,6476,6476,0.0810089015681,0.0598147310514,0.124066857319,0.535766066214,-0.0918715595794,198,56.3465101915,37.5386040766,6.11488573193
s016_l096_d0p0005,16,96,0.0005,SPY,2024,6516,6516,-0.020671683363,-0.038142143279,0.12006935474,-0.265767544586,-0.170229270153,180,58.6556169429,35.3591160221,5.98526703499
s016_l096_d0p0005,16,96,0.0005,SPY,2025,6464,6464,0.0100375509709,-0.00738929835494,0.190904826452,0.0561554243456,-0.152356298413,174,57.2555693069,37.1132425743,5.63118811881
s016_l096_d0p0010,16,96,0.001,SPY,2020,6554,6458,0.298480043757,0.277351348632,0.323532960414,0.916440068244,-0.174202383859,164,58.9965933726,33.5707649427,7.43264168473
s016_l096_d0p0010,16,96,0.001,SPY,2021,6540,6540,-0.0825843841512,-0.100478826603,0.119177171753,-0.830557490903,-0.142790328749,197,60.2905198777,29.1896024465,10.5198776758
s016_l096_d0p0010,16,96,0.001,SPY,2022,6514,6514,-0.0505105919557,-0.0698702682173,0.223955253177,-0.213321476732,-0.186116486078,206,43.6751611913,49.0635554191,7.26128338962
