symbol,bar_number,local_time,observations,sessions,mean_return,standard_deviation,mean_absolute_return,median_absolute_return,mean_squared_return,mean_high_low_log_range,mean_volume,median_volume,mean_trade_count,mean_volume_share,mean_trade_count_share,mean_absolute_return_share,mean_squared_return_share,opening_bar_rate,closing_bar_rate,average_session_length
QQQ,11,12:00:00,1508,1508,-4.828245707238833e-05,0.002021793656048404,0.00136387186777421,0.0009409171314889164,4.087270140335899e-06,0.0026905797868082503,1280963.1637931035,1119323.0,11913.480106100797,0.028897807018620734,0.028816977057963065,0.03456833742270194,0.029490914122908232,0.0,0.0,25.90450928381963
QQQ,12,12:15:00,1508,1508,3.5055202220187415e-06,0.0018771990865914785,0.001251530976135135,0.0008398802283631213,3.5215519113011524e-06,0.002533737933143585,1206449.2241379311,1012640.5,10938.303050397877,0.02693658140470051,0.02641472555792749,0.03129627424657322,0.02478770051371581,0.0,0.0,25.90450928381963
QQQ,13,12:30:00,1508,1508,2.161863833939622e-05,0.0018544223007171273,0.0012183996968242574,0.0008394662135260411,3.4370690091451884e-06,0.002458349699648095,1157928.5709549072,983825.0,10426.182360742705,0.025844670752397624,0.025171410179181997,0.030597848756184674,0.023328440970989926,0.0,0.0,25.90450928381963
QQQ,14,12:45:00,1508,1508,3.06464406570809e-05,0.0018938580710255856,0.0011963854184897289,0.0008136984814348658,3.5852591503033628e-06,0.002410067542756193,1130585.3607427056,945099.5,10250.694297082227,0.025773837712954658,0.02492848789218274,0.03056734975013255,0.024238778045038798,0.0,0.007957559681697613,25.90450928381963
QQQ,15,13:00:00,1496,1496,3.7041528031329876e-05,0.0018519514556895988,0.0012528461847540627,0.000820690193335416,3.4288036726432045e-06,0.002575624526961346,1202933.3636363635,1022577.5,10699.383021390375,0.02661337825721463,0.02559724015475445,0.031099678263332767,0.024710139161907358,0.0,0.0,26.0
QQQ,16,13:15:00,1496,1496,-5.189169585587321e-05,0.0021704303708654274,0.0012759677539276638,0.0008401232990471463,4.710311833786418e-06,0.00244738421082676,1120391.5340909092,943831.5,10068.137700534759,0.024749573370315435,0.024043060649992253,0.031337855866502506,0.02553828303008283,0.0,0.0,26.0
QQQ,17,13:30:00,1496,1496,1.6463391363789993e-05,0.0018985347120431839,0.0012460254086528628,0.0008226695493362968,3.602295715036731e-06,0.0024626072907986377,1150956.5147058824,947147.5,10550.706550802139,0.02537259838376045,0.025371562167134615,0.03090691047264539,0.02424399376774036,0.0,0.0,26.0
QQQ,18,13:45:00,1496,1496,7.870342428168548e-06,0.0017069283479327754,0.0011199354297681409,0.0007589851098113165,2.911718730752429e-06,0.0023086882444345496,1131621.0621657753,944656.0,9881.917780748663,0.02496247587731792,0.023865031964367546,0.02799861832563105,0.02040674340725263,0.0,0.0,26.0
QQQ,19,14:00:00,1496,1496,-9.96106266982564e-05,0.0020833378365851464,0.0013482383284639863,0.0008638282590207602,4.347317550556956e-06,0.0027617661597454245,1382589.9338235294,1111700.5,12244.188502673796,0.030160026483644548,0.029134771079158742,0.033244891250407395,0.02869818614781649,0.0,0.0,26.0
QQQ,20,14:15:00,1496,1496,7.565255017005601e-05,0.0018484775062974155,0.0012281266355509163,0.0007596425839326848,3.420308396231478e-06,0.0024738662030613914,1241698.235962567,1013870.0,10748.234625668449,0.027315029168849227,0.025908011030100327,0.030252259846090965,0.024461994489736995,0.0,0.0,26.0
QQQ,21,14:30:00,1496,1496,0.00011561849836216293,0.00213638858183056,0.0013131285155752095,0.0008420625650065183,4.574472903207043e-06,0.002641122517593479,1350575.837566845,1082924.5,11770.937834224598,0.02940291584232019,0.02787821224576631,0.03145896298265163,0.02651588813078125,0.0,0.0,26.0
QQQ,22,14:45:00,1496,1496,9.614000956163525e-05,0.0020338967070502086,0.0012992767451471476,0.0008179023006431585,4.143213518650932e-06,0.002611059640368871,1340141.8068181819,1082400.0,11593.300802139038,0.02917689269611849,0.027714756643595982,0.03159588752105815,0.026413065620333284,0.0,0.0,26.0
QQQ,23,15:00:00,1496,1496,-7.173121375851566e-05,0.0019977533517951296,0.0013454322570553754,0.0008592785646692747,3.9934960285513155e-06,0.0027704608853088607,1523777.0153743315,1271964.0,13060.056818181818,0.03356108757868477,0.03173832082670989,0.032756542750156735,0.02699953285109912,0.0,0.0,26.0
QQQ,24,15:15:00,1496,1496,-2.894309364298872e-05,0.001978718694871394,0.0012790157541218566,0.0008062352907018955,3.9135481784605055e-06,0.002616382037333046,1526160.1510695186,1293920.5,12895.758689839573,0.03376116970755869,0.031630140662525195,0.0303951991676445,0.02357672622826151,0.0,0.0,26.0
QQQ,25,15:30:00,1496,1496,-9.619718977263273e-06,0.0020496616247462044,0.0013483751035329808,0.0008888470890680011,4.198397084485249e-06,0.0027650108744530946,1886742.2660427808,1639343.0,15577.064839572193,0.04221818807472401,0.038649606630730596,0.03302474963147387,0.02710794399712462,0.0,0.0,26.0
QQQ,26,15:45:00,1496,1496,-1.1449918247172868e-06,0.003488048345422326,0.002027471599613851,0.0013173636726309113,1.2158349896370722e-05,0.0037825937610231008,4400185.831550802,4001378.5,33393.62967914438,0.10110972147648317,0.08519320042158408,0.048535315771158806,0.05622105398612305,0.0,1.0,26.0
SPY,1,09:30:00,1508,1508,-5.24415009791786e-05,0.0026855974584505463,0.0017755686430895956,0.0012276741651975343,7.2104010388869665e-06,0.00358443761851971,4505662.4867374,3908440.0,42430.677055702916,0.0675088802824931,0.07269287927337062,0.06089007795073453,0.08407193514490692,1.0,0.0,25.90450928381963
SPY,2,09:45:00,1508,1508,0.00016554217633727556,0.002444309912326561,0.0015684073783943622,0.0010725528059687406,5.998093189520027e-06,0.0031391803649278892,3242492.3282493367,2810990.0,31636.08222811671,0.047717257836020134,0.053454684160269696,0.05230190322711398,0.06573884032620515,0.0,0.0,25.90450928381963
SPY,3,10:00:00,1508,1508,-1.2434183083204223e-05,0.002468186398239632,0.0016081678319258066,0.0011850863723803506,6.088058954636989e-06,0.003203677670386241,3215662.6220159153,2809636.5,32067.078912466844,0.04745743995149514,0.05467136225182877,0.05477199948902454,0.07067386824143894,0.0,0.0,25.90450928381963
SPY,4,10:15:00,1508,1508,3.0158735735630238e-05,0.0021270901781466796,0.0014044276648754502,0.0009658973105990398,4.5224218353716e-06,0.0027999723066845887,2828364.850132626,2425203.0,28740.33023872679,0.041341121958421226,0.05002872967644373,0.047643751007111386,0.053994971371014,0.0,0.0,25.90450928381963
SPY,5,10:30:00,1508,1508,-1.5272649915489988e-05,0.0018838920362296181,0.0012759599194948183,0.000873777158495681,3.5469289771001962e-06,0.002635630766432005,2710945.470822281,2340795.5,25621.257957559683,0.03961221343713493,0.0440246071619412,0.04409865141420645,0.04764689735791715,0.0,0.0,25.90450928381963
SPY,6,10:45:00,1508,1508,-8.846589419079759e-05,0.001958605816250929,0.0012647424556768599,0.0008444409442414091,3.8414191006300125e-06,0.002488570189643276,2420083.6816976126,2017142.0,22172.34946949602,0.03520661273638611,0.03732068296602801,0.04209097293657242,0.042630923923249374,0.0,0.0,25.90450928381963
SPY,7,11:00:00,1508,1508,7.080388648466175e-05,0.0018944038206553902,0.001196993221167509,0.0007962745154981299,3.5913992078616326e-06,0.002413341757258069,2336313.777188329,1955754.0,21266.89124668435,0.03416976943005586,0.035683284807677455,0.04005164575053993,0.0389993387048243,0.0,0.0,25.90450928381963
SPY,8,11:15:00,1508,1508,-8.343257719162649e-06,0.001752179655936868,0.0011004088649379483,0.0007082727444407411,3.0681672590510338e-06,0.002231785282535663,2190026.25729443,1816475.0,19995.818965517243,0.03189513358429526,0.03337832860034625,0.03686789091007798,0.0340116700049104,0.0,0.0,25.90450928381963
SPY,9,11:30:00,1508,1508,2.6482925558752773e-05,0.0016996811075631973,0.0010943175035046803,0.0007094757556247444,2.887701486050885e-06,0.0022235124443494513,2114820.933687003,1770469.0,19497.601458885943,0.030801777737870156,0.03255414990987494,0.036427147449429154,0.03266582823774951,0.0,0.0,25.90450928381963
SPY,10,11:45:00,1508,1508,5.047746405897795e-05,0.0015522111328420051,0.0010026185987746634,0.0006355706229714819,2.410309656860864e-06,0.0020257944774935937,1899307.8554376657,1576551.0,17365.879973474803,0.027780798007325753,0.02889918680325229,0.03395168046799898,0.02949462959746527,0.0,0.0,25.90450928381963
SPY,11,12:00:00,1508,1508,-9.268574912117265e-06,0.0016145589401821204,0.0010152013019589104,0.0006769179138279569,2.6051578302092017e-06,0.0020247584652171424,1818475.9694960213,1510757.5,16728.34350132626,0.026550925111526805,0.02798133924058185,0.03386250187892008,0.028836783200490185,0.0,0.0,25.90450928381963
SPY,12,12:15:00,1508,1508,-6.379622235726169e-07,0.0015432016491991529,0.000953416738040199,0.0006058423596848606,2.3798925120668345e-06,0.0019446774690807175,1752053.0470822281,1449953.5,15968.59549071618,0.025398973233227144,0.026572357327210284,0.031581381289015685,0.02559079033579631,0.0,0.0,25.90450928381963
SPY,13,12:30:00,1508,1508,2.7556251077463174e-05,0.0015053648059783773,0.0009327072635925249,0.0006046221902127336,2.265379811834868e-06,0.001897621220739029,1705874.698938992,1400609.5,15655.659151193633,0.02479174385537773,0.02602441609810682,0.03146287354976806,0.025081511436509777,0.0,0.0,25.90450928381963
SPY,14,12:45:00,1508,1508,2.9035935550507217e-05,0.0016330525437040328,0.0009213491177158804,0.0005911778265348389,2.6659352208456066e-06,0.001865450156036239,1699302.9688328912,1341963.0,15224.258620689656,0.02521190481863277,0.025511062032812566,0.030985393137185367,0.025368715650732235,0.0,0.007957559681697613,25.90450928381963
SPY,15,13:00:00,1496,1496,2.0098429700819373e-05,0.0014982504964856586,0.0009681578280578437,0.0006200238403857306,2.2436579927174757e-06,0.0020157356555246795,1751984.4244652407,1440195.5,15805.482620320856,0.025070678394094287,0.025888009983389144,0.03170485231247,0.02592313566632597,0.0,0.0,26.0
SPY,16,13:15:00,1496,1496,-5.4978362782251594e-05,0.0018647094441262885,0.0010033613825197847,0.0006438796168977134,3.4778396390677883e-06,0.001949827753677869,1676661.4913101604,1356482.0,15104.966577540106,0.024039543461805157,0.024841777355678704,0.032147788854817706,0.027421560660809245,0.0,0.0,26.0
SPY,17,13:30:00,1496,1496,1.7310182466922172e-05,0.0015839030131281843,0.0009688485185578916,0.0006027952168321526,2.507371426320665e-06,0.0019401485084296168,1768226.3923796793,1455822.0,16212.485962566845,0.02520444882889714,0.02666031031982974,0.031851871543795866,0.026396368638444252,0.0,0.0,26.0
SPY,18,13:45:00,1496,1496,-9.966235155784321e-06,0.0013853716001898228,0.0008694334202463611,0.0005606899094066087,1.918070872344318e-06,0.0018155192924293126,1702563.6931818181,1405265.0,15062.201871657753,0.024396646150735012,0.02471268669966019,0.028766874916560457,0.021940448915796648,0.0,0.0,26.0
SPY,19,14:00:00,1496,1496,-7.530675684696585e-05,0.0017345480535228294,0.0010905227949973794,0.0006928791883442642,3.0123169232817926e-06,0.002222408267338844,2243212.5160427806,1783780.5,19785.95320855615,0.032339191772548376,0.032435104984898745,0.035578247574666697,0.03245655295363409,0.0,0.0,26.0
SPY,20,14:15:00,1496,1496,5.808104296440484e-05,0.0015218223342745175,0.0009935358282770375,0.000628322498131606,2.317768534262816e-06,0.0019961978000438045,1974121.1564171123,1609967.5,17318.767379679146,0.028436685812380343,0.028677427821097442,0.03290545270600856,0.028697679138202564,0.0,0.0,26.0
SPY,21,14:30:00,1496,1496,9.066371698013543e-05,0.0017638846844800456,0.0010691446286450925,0.0006637351986031881,3.1174293509631484e-06,0.0021444539342990827,2155796.094251337,1732954.5,18964.344919786097,0.030930576243582295,0.031009582930840808,0.03474636138681101,0.03208514125295642,0.0,0.0,26.0
SPY,22,14:45:00,1496,1496,5.279928692339946e-05,0.0017438737067412995,0.0010659537923925213,0.0006380448711760245,3.041850451912278e-06,0.002132262635766911,2170713.774064171,1706236.5,18831.445855614973,0.031052309871246776,0.03086110253751861,0.03403960247179654,0.030258463007181227,0.0,0.0,26.0
SPY,23,15:00:00,1496,1496,-4.389444444930303e-05,0.001667128015022874,0.0010923270345246049,0.000689716460463341,2.779384709298155e-06,0.0022608826873056374,2554295.429144385,2139429.0,21569.642379679146,0.036991092223129324,0.03611459540640834,0.03552694701996958,0.03225853143877585,0.0,0.0,26.0
SPY,24,15:15:00,1496,1496,-6.509343998790591e-07,0.0017036884828245012,0.0010603980493664688,0.0006201610291185489,2.900614660032926e-06,0.0021728558957918903,2722802.356951872,2329290.0,22359.532754010695,0.03954628763362932,0.037651965715749545,0.033352357409461436,0.028277004088389165,0.0,0.0,26.0
SPY,25,15:30:00,1496,1496,-2.7675927429315194e-05,0.0018327535365816451,0.0011687002930555477,0.0007167842862223495,3.3575061716312234e-06,0.0023800321984479523,3662099.6871657753,3146248.0,28742.79010695187,0.053674027167784945,0.04887170340942004,0.03866849107700672,0.03742422505873157,0.0,0.0,26.0
SPY,26,15:45:00,1496,1496,-1.9694704222703014e-05,0.0030158506941417827,0.0017666949567027006,0.0011221359995303715,9.089663507702239e-06,0.003270153613354252,9766318.598262032,8471135.0,61430.38435828877,0.14684098277022364,0.10709793736285182,0.05711642769307299,0.07522418535182256,0.0,1.0,26.0
